title;published_date;author;description;price;weeks_on_list
ADIOS, AMERICA!;2015-06-21;Ann Coulter;The political commentator denounces immigrants, immigration and liberals.;nan;1
ADMIRED;2012-09-30;Mark C Thompson and Bonita S Thompson;Strategies for becoming more valued in a competitive world.;12.99;2
ADNAN'S STORY;2016-09-04;Rabia Chaudry;A friend of Adnan Syed, whose murder case was the focus of the popular podcast “Serial,” maintains his innocence.;nan;0
ADULT COLORING BOOKS;2016-01-03;the staff of Coloring Books for Adults;Mandalas and flowers, animals and paisley patterns inspired by traditional henna.;nan;0
ADULTERY;2014-09-07;Paulo Coelho; A married journalist, depressed by boredom, risks everything when she embarks on an affair with a former boyfriend | by the Brazilian writer, the author of “The Alchemist.” ;nan;1
ADULTOLESCENCE;2017-10-08;Gabbie Hanna;A collection of poems by the YouTube comedian.;nan;2
ADVENTURE TIME, VOL. 1;2012-11-25;Ryan North;The Cartoon Network series starring Finn the Human, Jake the Dog and Princess Bubblegum, gets a comic book series.;14.99;1
ADVENTURE TIME, VOL. 2;2013-03-24;Ryan North and Shelli Paroline;The Cartoon Network series starring Finn the Human, Jake the Dog and Princess Bubblegum, gets a comic book series.;14.99;1
ADVENTURE TIME, VOL. 3;2013-07-21;Ryan North and others;Join Finn the Human, Jake the Dog, and Princess Bubblegum for all-new adventures in The Land of Ooo.;nan;1
ADVENTURE TIME: FIONNA & CAKE;2013-11-03;Natasha Allegri;"In the world of Fionna & Cake, all the ""Adventure Time"" genders are flipped.";nan;1
ADVENTURES OF SUPERMAN: JOSE LUIS GARCIA-LOPEZ;2013-04-28;various;In these stories celebrating the work of the artist Joe Luis Garcia-Lopez, Superman encounters Adam Strange, the Metal Men and Firestorm, and battles Lex Luthor and Wonder Woman.;39.99;1
AFFLICTION;2013-07-21;Laurell K Hamilton;The vampire hunter Anita Blake encounters a dangerous new breed of zombies. ;nan;1
AFRAID TO DIE;2012-07-08;Lisa Jackson;A nightmare is unfolding for the Grizzly Falls detectives Selena Alvarez and Regan Pescoli: the frozen bodies of two women have been found, each wearing a piece of Alvarez’s jewelry.;7.99;2
AFTER AMERICA;2011-08-28;Mark Steyn;The writer foresees Armageddon for America, which he says has caught up with Europe in the rush to self-destruction.;29.95;3
AFTER ANNA;2018-04-29;Lisa Scottoline;A woman marries a widower and reunites with her teenage daughter who is murdered soon after, and the husband is put on trial for it.;nan;2
AFTER DEAD;2013-11-17;Charlaine Harris;A coda to the Sookie Stackhouse novels that inspired “True Blood.”;nan;1
AFTER THE FALL;2017-10-22;Dan Santat;Humpty Dumpty overcomes his fear of heights.;nan;8
AFTER THE STORM;2014-01-26;Maya Banks;Donovan Kelly, part of an elite, family-run task force, tries to protect a beautiful stranger whose dark past is closing in on her.;nan;1
AFTER VISITING FRIENDS;2013-03-10;Michael Hainey;A newspaper reporter’s investigation into the mysterious death of his father, himself a newspaperman who had worked in a vanished world of Chicago journalism.;nan;1
AFTER YOU;2015-10-18;Jojo Moyes;In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor, and joins a grief support group that may lead her to new love.;nan;16
AFTERBURN / AFTERSHOCK;2014-03-30;Sylvia Day;Two novellas featuring Gianna Rossi and Jackson Rutledge as they navigate a cutthroat business world and its inner circle of glamour, sex and privilege.;nan;1
AFTERLIFE WITH ARCHIE: ESCAPE FROM RIVERDALE;2014-06-29;Roberto Aguirre-Sacasa and Francesco Francavilla;Sabrina the Teenage Witch revives Jughead’s dog, but her spell goes horribly awry and sparks a zombie invasion that threatens to overrun Riverdale.;nan;1
AFTERMATH:: EMPIRE'S END;2017-03-12;Chuck Wendig;The conclusion to the Star Wars trilogy set in the years between “Return of the Jedi” and “The Force Awakens.”;nan;1
AFTERSCHOOL CHARISMA, VOL. 4;2011-11-06;Kumiko Suekane;All the students at St. Kleio Academy are clones of prominent historical figures. In this volume, Florence Nightingale gets the spotlight.;12.99;1
AFTERSHOCK;2011-09-04;David Wiedemer, Robert A Wiedemer and Cindy Spitzer;Protecting yourself and profiting in the next global financial crisis.;27.95;2
AGAIN, BUT BETTER;2019-05-26;Christine Riccio;Shane attends a semester of college in London for a fresh start.;nan;3
AGAINST ALL ENEMIES;2011-07-03;Tom Clancy with Peter Telep;Max Moore, the former Navy SEALs member, pursues the terrorists who killed his C.I.A. colleagues in a bombing in Pakistan.;28.95;4
AGAINST ALL ODDS;2011-03-13;Scott Brown;The senator from Massachusetts describes his life of hardship and second chances.;27.99;2
AGE OF ULTRON;2013-10-06;Brian Michael Bendis and various;Ultron, a supremely intelligent robot who hates all organic life, has taken over the world and the remaining heroes of the Marvel Universe must travel back in time to prevent his creation.;nan;1
AGENDA 21;2012-12-09;Glenn Beck with Harriet Parke;A girl begins to question the authorities who run the Republic, the totalitarian successor to the United States created by the U.N.;26.0;1
AGENT RUNNING IN THE FIELD;2019-11-10;John le Carré;A veteran of Britain’s Secret Intelligence Service, who is assigned to command a lesser band of spies, hatches a covert operation.;nan;1
AGENT ZIGZAG;2015-05-31;Ben Macintyre;The professional Soho criminal who became a British double agent against the Nazis.;nan;1
AGENTS OF THE APOCALYPSE;2014-10-26;David Jeremiah;nan;nan;4
AI ORE-LOVE ME, VOL. 2;2011-08-28;Mayu Shinjo;Another Romeo and Juliet tale: Mizuki is the the lead guitarist in an all-girl rock band. Akira is from an all-boy school and wants to join. Can they become band mates and something more?;12.99;2
AI ORE: LOVE ME, VOL. 5;2012-05-20;Mayu Shinjo;Mizuki is the the lead guitarist in an all-girl rock band. Akira is from an all-boy school and wants to join. In this volume, Akira's middle school tutor has returned and threatens to reveal a secret from his past.;9.99;1
AIR BOUND;2014-06-15;Christine Feehan;Kidnapped and held aboard a ship, Airiana must rely on Maxim, one of the feared Prakenskii brothers.;nan;2
AIR GEAR, VOL. 21;2012-01-15;Oh Great;This series tells the story of Itsuki Minami, the toughest kid at Higashi Junior High School.;10.99;1
AIR GEAR, VOL. 22;2012-03-25;Oh!Great;This series tells the story of Itsuki Minami, the toughest kid at Higashi Junior High School.;10.99;1
AIR GEAR, VOL. 23;2012-05-13;Oh!Great;This series tells the story of Itsuki Minami, the toughest kid at Higashi Junior High School.;10.99;1
AKAME GA KILL! ZERO, VOL. 3;2016-10-16;Takahiro and Kei Toru;In this prequel to the main series, Akame must rescue her sister Kurome, who has been captured by grave keepers.;nan;1
AKAME GA KILL!, VOL. 1;2015-02-08;Takahiro and Tetsuya Tashiro;Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.;nan;7
AKAME GA KILL!, VOL. 2;2015-05-10;Takahiro and Tetsuya Tashiro;Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.;nan;4
AKAME GA KILL!, VOL. 3;2015-08-09;Takahiro and Tetsuya Tashiro;Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.;nan;2
AKAME GA KILL!, VOL. 4;2015-11-15;Takahiro and Tetsuya Tashiro;Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.;nan;1
AKAME GA KILL!, VOL. 5;2016-02-14;Takahiro and Tetsuya Tashiro;Tatsumi and the rest of Night Raid are on the run after a mad scientist named Dr. Stylish attacks their base.;nan;2
AKAME GA KILL!, VOL. 6;2016-05-15;Takahiro and Tetsuya Tashiro;Tatsumi renews his efforts to recruit General Esdeath to Night Raid.;nan;1
AKAME GA KILL!, VOL. 7;2016-08-14;Takahiro and Tetsuya Tashiro;It’s sister vs. sister as the battle between Akame and Kurome takes center stage.;nan;1
AKAME GA KILL!, VOL. 8;2016-11-13;Takahiro and Tetsuya Tashiro;Akame and her friends battle Jaegers and the Demons from the Temple of the Imperial Fist.;nan;1
AKIRA, VOL. 6;2011-05-01;Katsuhiro Otomo;The classic series, about a post-apocalyptic future, reaches its inclusion in this volume.;29.99;1
AL FRANKEN, GIANT OF THE SENATE;2017-06-18;Al Franken;A memoir by the Democratic senator from Minnesota and former “Saturday Night Live” writer and performer.;nan;16
ALAN MOORE'S NEONOMICON;2011-11-27;Alan Moore and Jacen Burrows;Two F.B.I. agents are on the case of a series of ritual murders that are tied to a rogue agent. Find out what horrors await them in the small harbor town of Innsmouth.;19.99;1
ALAN TURING: THE ENIGMA;2014-12-07;Andrew Hodges;The presiding mathetmatician and decoding force at Bletchley Park, the center that cracked the German Enigma code.;nan;2
ALASKAN HOLIDAY;2018-10-21;Debbie Macomber;A Seattleite cook stuck in remote Ponder, Alaska, grapples with her feelings for the local swordsmith.;nan;1
ALERT;2015-08-23;James Patterson and Michael Ledwidge;Detective Michael Bennett and the F.B.I.’s Emily Parker must save New York City from a deadly threat.;nan;3
ALEX AND ELIZA;2017-04-30;Melissa de la Cruz;As the Revolution unfolds, Eliza Schuyler meets a man named Hamilton.;nan;5
ALEX CROSS, RUN;2013-03-10;James Patterson;While Detective Alex Cross pursues a serial killer (or killers?) in Washington, D.C., he's too busy to notice that someone has been watching him.;28.99;6
ALEX CROSS’S ‘TRIAL’;2010-12-26;James Patterson and Richard DiLallo;The detective Alex Cross writes a novel about his great-uncle, who fought the Ku Klux Klan.;9.99;4
ALEXANDER HAMILTON;2015-11-29;Ron Chernow;A biography of the first Treasury secretary, a major author of the Federalist Papers and an advocate of strong central government.  Originally published in 2004 and the basis of the Broadway play.;nan;93
ALI CROSS;2019-12-15;James Patterson;Ali Cross investigates the disappearance of a close friend.;nan;3
ALI: A LIFE;2017-11-05;Jonathan Eig;nan;nan;0
ALICE IN THE COUNTRY OF CLOVER: BLOODY TWINS;2012-06-24;QuinRose and Mamenosuke Fujimaru;"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" Tweedle Dee and Tweedle Dum compete for the love of the titular heroine.";13.99;2
ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 1;2012-08-05;QuinRose and Mamenosuke Fujimaru;"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.";13.99;3
ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 2;2012-10-07;QuinRose;"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.";13.99;4
ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 3;2012-12-09;QuinRose;"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.";13.99;3
ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 4;2013-04-07;QuinRose;"In this reimagining of Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Cheshire Cat, disguised as a human named Boris, vies for Alice's affections.";13.99;2
ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 5;2013-08-04;QuinRose and Mamenosuke Fujimaru;As Alice explores more of Wonderland, her relationship with the Chesire Cat deepens.;nan;3
ALICE IN THE COUNTRY OF HEARTS, VOL. 1;2012-08-19;Quinrose and Soumei Hoshino;"The story of ""Alice’s Adventures in Wonderland"" is retold, manga-style.";18.99;1
ALICE IN THE COUNTRY OF HEARTS, VOL. 4;2010-09-19;Quinrose and Hoshino Soumei;Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. In this new area of the fantasy land, every man is in love with Alice... and firearms.;10.99;4
ALICE IN THE COUNTRY OF HEARTS, VOL. 5;2010-12-05;QuinRose;Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. In this new area of the fantasy land, every man is in love with Alice... and firearms.;10.99;4
ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;2012-12-30;Quinrose;This is not your typical wonderland: Peter is a man with rabbit ears and Elliott March, the Mad Hatter’s enforcer, is a mafia hitman. How will Alice survive?;11.99;3
ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 2;2013-05-19;QuinRose and Delico Psyche;Alice encounters the March Hare.;nan;2
ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;2010-02-28;Quinrose and Soumei Hoshino;Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. In this new area of the fantasy land, every man is in love with Alice... and firearms.;10.99;11
ALICE IN THE COUNTRY OF HEARTS: THE MAD HATTER'S LATE NIGHT TEA PARTY, VOL. 1;2013-12-01;QuinRose and Riko Sakura;Blood Dupre is the leader of Wonderland’s mafia and he can handle anything. Except for Alice Lidell!;nan;2
ALICE IN THE COUNTRY OF JOKER, VOL. 1;2013-02-24;QuinRose;Move over Wonderland, Alice is now in the country of Joker, where she meets old friends and must unravel new mysteries.;12.99;3
ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR'S GAME, VOL. 2;2013-06-16;QuinRose;Alice is further down the rabbit hole. In this adventure, she must deal with the Jokers and solve the mystery of the Circus and the Prison Realm.;nan;2
ALICE'S ADVENTURES IN WONDERLAND;2010-03-21;Lewis Carroll;Down the rabbit-hole again, with new illustrations.;16.99;7
ALIEN SUPERSTAR;2019-10-20;Henry Winkler and Lin Oliver;An alien mistaken for a costumed actor on a Universal Studios lot becomes a star.;nan;1
ALISTAIR GRIM'S ODDITORIUM;2016-01-10;Gregory Funaro;nan;nan;1
ALIVE;2016-07-24;Scott Sigler;nan;nan;1
ALL ARE WELCOME;2018-08-26;Alexandra Penfold and Suzanne Kaufman;A celebration of kindness, inclusivity and diversity at a school.;nan;4
ALL BY MYSELF, ALONE;2017-04-23;Mary Higgins Clark;On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace has disappeared.;nan;3
ALL DRESSED IN WHITE;2015-12-06;Mary Higgins Clark and Alafair Burke;A TV producer investigates a bride’s disappearance for her show, “Under Suspicion.”;nan;1
ALL FALL DOWN;2014-07-06;Jennifer Weiner;A woman becomes addicted to pain medication.;nan;1
ALL IN;2012-04-22;Adrian Gostick and Chester Hilton;Managers create a “culture of belief” to get the desired results.;25.0;1
ALL IN STARTUP;2014-07-20;Diana Kander;nan;nan;1
ALL SUMMER LONG;2012-08-19;Susan Mallery;A former underwear model is charmed by a tomboyish firefighter who sees beyond his dazzling looks. But can their summer fling last?;7.99;1
ALL THAT IS BITTER AND SWEET;2011-04-24;Ashley Judd with Maryanne Vollers;A memoir by the actress and humanitarian.;26.0;2
ALL THE BRIGHT PLACES;2015-08-02;Jennifer Niven;An outcast helps a classmate recover from her sister’s death.;nan;11
ALL THE CROOKED SAINTS;2017-10-29;Maggie Stiefvater;The Sorias family have the ability to perform miracles for pilgrims to Bicho Raro.;nan;1
